ID1,ID2,Distance
11045_2002,11046_2002,0.0360066
11392_2010,11393_2010,0.048285
11045_2002,11047_2002,0.0467475
11413_2011,11414_2011,0.0359181
11392_2010,11394_2010,0.0536623
11045_2002,11048_2002,0.0558257
11183_2005,11184_2005,0.0394281
11381_2010,11382_2010,0.0429571
11183_2005,11185_2005,0.0482838
11279_2007,11280_2008,0.0376762
11381_2010,11383_2010,0.0829074
11183_2005,11186_2005,0.0810233
11279_2007,11281_2008,0.044745
11381_2010,11384_2010,0.0810406
11183_2005,11187_2005,0.0979774
11392_2010,11395_2010,0.0627085
11413_2011,11415_2011,0.084848
11045_2002,11049_2002,0.0888507
11392_2010,11396_2010,0.092306
11413_2011,11416_2011,0.125245
11045_2002,11050_2002,0.141538
11381_2010,11385_2010,0.0828918
11279_2007,11282_2008,0.0626901
11045_2002,11051_2002,0.174657
11413_2011,11417_2011,0.157462
11045_2002,11052_2002,0.179099
11392_2010,11397_2010,0.127099
11413_2011,11418_2011,0.208887
11045_2002,11053_2002,0.181217
11392_2010,11398_2010,0.157386
11413_2011,11419_2011,0.263794
11045_2002,11054_2002,0.231934
11183_2005,11188_2005,0.107546
11279_2007,11283_2008,0.0885791
11381_2010,11386_2010,0.13301
11183_2005,11189_2005,0.151189
11381_2010,11387_2010,0.135009
11279_2007,11284_2008,0.12334
11183_2005,11190_2005,0.184611
11045_2002,11055_2002,0.275773
11413_2011,11420_2011,0.303468
11392_2010,11399_2010,0.182497
11413_2011,11421_2011,0.334144
11045_2002,11056_2002,0.317619
11392_2010,11400_2011,0.204123
11413_2011,11422_2011,0.376519
11045_2002,11057_2002,0.353938
11392_2010,11401_2011,0.204123
11413_2011,11423_2011,0.38212
11045_2002,11058_2002,0.359309
11392_2010,11402_2011,0.212939
11413_2011,11424_2011,0.393331
11045_2002,11059_2002,0.38399
11392_2010,11403_2011,0.254047
11370_2010,11371_2010,0.0151888
11023_2001,11024_2001,0.0117843
11000_2001,11001_2001,0.022118
11413_2011,11425_2011,0.442298
11067_2002,11068_2002,0.00167155
11023_2001,11025_2001,0.0306756
11370_2010,11372_2010,0.0220258
11067_2002,11069_2002,0.0394164
11423_2011,11424_2011,0.00839855
11045_2002,11060_2002,0.421166
11067_2002,11070_2002,0.0699485
11392_2010,11404_2011,0.265982
11000_2001,11002_2001,0.0394997
11067_2002,11071_2002,0.081028
11392_2010,11405_2011,0.307555
11413_2011,11426_2011,0.48891
11293_2008,11294_2008,0.0574367
11128_2004,11129_2004,0.0376591
